E-20-53-OP-80;PARADA 10 / (M) LA MONEDA;-33.4453340092442;-70.658266870618
E-20-53-OP-85;PARADA 4 / (M) LOS HEROES;-33.4458457431484;-70.6604603784951
E-20-53-OP-90;PARADA 3 / (M) LOS HEROES;-33.4459816416335;-70.6610869030258
E-20-53-OP-95;PARADA 2 / (M) LOS HEROES;-33.4461770441142;-70.6619835022008
E-20-53-PO-105;PARADA 8 / PLAZA ITALIA;-33.4382780273065;-70.6375122587867
E-20-53-PO-110;PARADA 7 / PLAZA ITALIA;-33.4378901251708;-70.6368380647675
E-20-53-PO-115;PARADA 5 / PLAZA ITALIA;-33.4375605723715;-70.6358422770349
E-20-53-PO-20;PARADA 5 / (M) REPUBLICA;-33.4484019504025;-70.668889411205
E-20-53-PO-25;PARADA 3 / (M) REPUBLICA;-33.4480925759176;-70.6677539222377
E-20-53-PO-30;PARADA 2 / (M) REPUBLICA;-33.4478710362024;-70.666792244859
E-20-53-PO-35;PARADA 9 / (M) LOS HEROES;-33.4471277573593;-70.6630451286178
E-20-53-PO-40;PARADA 8 / (M) LOS HEROES;-33.4469079106218;-70.6619544141413
E-20-53-PO-45;PARADA 7 / (M) LOS HEROES;-33.4467119317618;-70.6611008267615
E-20-53-PO-5;PARADA 4 / (M) ESTACION CENTRAL;-33.4506171486335;-70.677150991315
E-20-53-PO-50;PARADA 12 / (M) LOS HEROES;-33.4464808913756;-70.6601712720701
E-20-53-PO-55;PARADA 8 / (M) LA MONEDA;-33.4459957691668;-70.6580105285145
E-20-53-PO-60;PARADA 7 / (M) LA MONEDA;-33.4457232189286;-70.6568112629876
E-20-53-PO-65;PARADA 6 / (M) LA MONEDA;-33.4454314758964;-70.6556976994887
E-20-53-PO-70;PARADA 5 / (M) LA MONEDA;-33.4451152582325;-70.6543900453014
E-20-53-PO-90;PARADA 9 / (M) SANTA LUCIA;-33.4430827017594;-70.6465202434822
E-20-53-PO-95;PARADA 5 / (M) SANTA LUCIA;-33.442773973866;-70.6453203685991
E-20-53-PO-97;PARADA 4 / (M) SANTA LUCIA;-33.4425502593004;-70.6445093617535
E-20-68-SN-5;PARADA 1 / (M) ESTACION CENTRAL;-33.4501690903375;-70.6789389459874
E-21-134-NS-60;PARADA 5 / (M) PEDRERO;-33.5085647644811;-70.6135690240462
E-21-205-SN-35;PARADA 4 / DEPARTAMENTAL - SANTA ROSA;-33.507835227003;-70.6382293684716
E-21-205-SN-40;PARADA 1 / DEPARTAMENTAL - SANTA ROSA;-33.5066155123576;-70.6384001514075
E-21-211-NS-45;PARADA 3 / DEPARTAMENTAL - LAS INDUSTRIAS;-33.5069180621512;-70.6263920091307
E-21-211-SN-15;PARADA 2 / DEPARTAMENTAL - LAS INDUSTRIAS;-33.5082910631379;-70.6255349468614
E-21-211-SN-16;PARADA 5 / DEPARTAMENTAL - LAS INDUSTRIAS;-33.5082650038716;-70.625459102581
E-21-89-OP-35;PARADA 2 / DEPARTAMENTAL - SANTA ROSA;-33.5069836940261;-70.637836541395
E-21-89-PO-5;PARADA 3 / DEPARTAMENTAL - SANTA ROSA;-33.5073350312339;-70.6378646917404
E-22-12-OP-35;PARADA 1 / (M) SANTA ROSA;-33.5424144058794;-70.6331845971793
E-22-205-SN-31;PARADA 2 / (M) SANTA ROSA;-33.543896632978;-70.6336217328428
E-22-205-SN-32;PARADA 3 / (M) SANTA ROSA;-33.5437499628423;-70.6338020567225
E-22-205-SN-33;PARADA 4 / (M) SANTA ROSA;-33.5431534917638;-70.6338985258553
E-22-205-SN-34;PARADA 11 / (M) SANTA ROSA;-33.5432912881917;-70.6337072667236
E-24-12-PO-20;PARADA 6 / (M) SANTA ROSA;-33.5426183445768;-70.6348146316092
E-24-205-NS-55;PARADA 8 / (M) SANTA ROSA;-33.5418148735319;-70.6341964126296
E-24-205-NS-65;PARADA 5 / (M) SANTA ROSA;-33.5430066791463;-70.634089614652
